,Date,site_no,LAT_GAGE,LNG_GAGE,LstAvgStrf
282,10 09,10256500,33.870572,-116.681127,1.617317073170732
366,01 01,10257550,33.898905,-116.621126,52.05529411764706
1002,09 27,10257600,34.011123,-116.628069,0.9376923076923079
1292,07 13,10257720,33.84418400000001,-116.605293,0.0371875
1731,09 24,10258000,33.805019,-116.559182,0.39225
2022,07 11,10258500,33.745022,-116.535571,0.195
2452,09 13,10259000,33.760021,-116.550015,1.244
2780,08 06,10259200,33.631136,-116.392234,0.08324999999999998
3186,09 15,10260500,34.341114000000005,-117.228376,2.5930000000000004
3532,08 26,10260950,34.338892,-117.257821,0.014000000000000002
3876,08 04,10261500,34.573049,-117.320602,4.913500000000001
4316,10 17,10263500,34.420831,-117.839507,4.300749999999999
4751,12 25,10265150,37.668822,-118.817631,43.156756756756735
5063,11 01,10270800,37.17687700000001,-118.56316499999998,19.26060606060606
5144,01 21,10270872,37.213822,-118.61038899999998,15.603030303030305
5549,02 29,10293000,38.327696,-119.214876,28.01
6138,10 09,10296000,38.379637,-119.45016499999998,51.073170731707314
6504,10 09,10296500,38.513245,-119.44988700000002,61.821951219512194
6870,10 09,10308200,38.714627,-119.764898,68.30487804878047
7231,10 04,10310000,38.769628,-119.833789,21.736585365853653
7578,09 15,10336610,38.922408,-119.991571,9.07225
7942,09 13,10336645,39.051852,-120.118521,1.0262500000000006
8310,09 15,10336660,39.107407,-120.162135,2.21525
8675,09 14,10336676,39.132129,-120.157691,1.11075
9066,10 09,10336780,38.919908,-119.972404,16.288780487804882
9440,10 17,10337500,39.166296,-120.144359,66.39
9728,07 31,10338500,39.323517,-120.234365,4.1347499999999995
10194,11 08,10340500,39.37324,-120.131587,23.445249999999994
10290,02 12,10343000,39.456572,-120.287148,8.61
10861,09 04,10343500,39.431572,-120.237979,2.36125
11287,11 03,10344400,39.435741,-120.084366,39.30499999999999
11405,02 29,10344500,39.38685200000001,-120.095476,58.955
12007,10 22,10346000,39.427964,-120.034087,347.235
12426,12 14,11014000,32.637557,-116.884189,5.34
12696,09 09,11015000,32.834774,-116.623075,0.15799999999999997
13052,08 30,11022200,32.836162,-116.900304,0.17833333333333337
13431,09 12,11022480,32.840327,-117.025863,1.98125
13798,09 13,11023000,32.76505,-117.168645,1.436578947368421
14147,08 27,11023340,32.943101,-117.1217,1.3155
14524,09 07,11025500,33.106987,-116.866137,0.37174999999999997
14896,09 13,11028500,33.052266,-116.945584,0.027000000000000003
15263,09 14,11042000,33.218090999999994,-117.360316,3.6464999999999996
15614,08 30,11042400,33.459198,-116.92363600000002,1.3615384615384611
16045,11 03,11043000,33.479751,-117.14392,0.61075
16425,11 17,11044000,33.473918,-117.142254,2.8335
16711,08 29,11046000,33.311144,-117.34726,1.5040540540540541
17081,09 02,11046530,33.502526,-117.648106,0.17176470588235293
17513,11 07,11051500,34.108345,-117.100591,5.13325
17825,09 14,11055500,34.118345,-117.141704,0.44349999999999995
18185,09 08,11055800,34.143899,-117.188651,1.2822500000000001
18539,08 27,11057500,34.063625,-117.27282,0.4017948717948718
18915,09 06,11058500,34.179176,-117.265598,1.0915384615384618
19303,09 28,11059300,34.065013,-117.300321,17.241951219512192
19668,09 27,11060400,34.078346,-117.300321,3.6753658536585356
20085,11 17,11062000,34.21223,-117.458105,5.607749999999999
20403,09 30,11062001,34.21223,-117.458105,20.690256410256406
20769,09 30,11063510,34.263339,-117.466994,4.034999999999999
21125,09 20,11063680,34.208341,-117.331434,0.6058536585365853
21498,09 27,11065000,34.078901,-117.305599,0.07225000000000001
21834,08 28,11066460,33.968626,-117.448381,54.544999999999995
22237,10 04,11069500,33.738076,-116.83391,0.4183333333333333
22567,08 29,11070500,33.664189,-117.293927,0.13499999999999995
22912,08 08,11072100,33.889182,-117.562827,7.032972972972973
23341,10 10,11073360,34.003901,-117.727001,1.8997560975609753
23664,08 28,11073495,33.982791,-117.599497,21.310750000000006
24048,09 15,11074000,33.883349,-117.64533,133.87499999999997
24403,09 04,11075720,33.913346999999995,-117.842558,0.0005
24786,09 21,11075800,33.712796999999995,-117.64505,0.03097560975609756
24888,01 01,11077500,33.770295000000004,-117.884501,0.0
24947,02 29,11077500,33.770295000000004,-117.884501,0.0
25008,04 30,11077500,33.770295000000004,-117.884501,0.0
25010,05 02,11077500,33.770295000000004,-117.884501,0.0
25016,05 08,11077500,33.770295000000004,-117.884501,0.0
25017,05 09,11077500,33.770295000000004,-117.884501,0.0
25018,05 10,11077500,33.770295000000004,-117.884501,0.0
25019,05 11,11077500,33.770295000000004,-117.884501,0.0
25024,05 16,11077500,33.770295000000004,-117.884501,0.0
25025,05 17,11077500,33.770295000000004,-117.884501,0.0
25026,05 18,11077500,33.770295000000004,-117.884501,0.0
25027,05 19,11077500,33.770295000000004,-117.884501,0.0
25028,05 20,11077500,33.770295000000004,-117.884501,0.0
25029,05 21,11077500,33.770295000000004,-117.884501,0.0
25031,05 23,11077500,33.770295000000004,-117.884501,0.0
25032,05 24,11077500,33.770295000000004,-117.884501,0.0
25033,05 25,11077500,33.770295000000004,-117.884501,0.0
25034,05 26,11077500,33.770295000000004,-117.884501,0.0
25035,05 27,11077500,33.770295000000004,-117.884501,0.0
25037,05 29,11077500,33.770295000000004,-117.884501,0.0
25038,05 30,11077500,33.770295000000004,-117.884501,0.0
25040,06 01,11077500,33.770295000000004,-117.884501,0.0
25041,06 02,11077500,33.770295000000004,-117.884501,0.0
25043,06 04,11077500,33.770295000000004,-117.884501,0.0
25046,06 07,11077500,33.770295000000004,-117.884501,0.0
25047,06 08,11077500,33.770295000000004,-117.884501,0.0
25048,06 09,11077500,33.770295000000004,-117.884501,0.0
25049,06 10,11077500,33.770295000000004,-117.884501,0.0
25050,06 11,11077500,33.770295000000004,-117.884501,0.0
25051,06 12,11077500,33.770295000000004,-117.884501,0.0
25054,06 15,11077500,33.770295000000004,-117.884501,0.0
25055,06 16,11077500,33.770295000000004,-117.884501,0.0
25056,06 17,11077500,33.770295000000004,-117.884501,0.0
25057,06 18,11077500,33.770295000000004,-117.884501,0.0
25058,06 19,11077500,33.770295000000004,-117.884501,0.0
25059,06 20,11077500,33.770295000000004,-117.884501,0.0
25060,06 21,11077500,33.770295000000004,-117.884501,0.0
25061,06 22,11077500,33.770295000000004,-117.884501,0.0
25063,06 24,11077500,33.770295000000004,-117.884501,0.0
25064,06 25,11077500,33.770295000000004,-117.884501,0.0
25065,06 26,11077500,33.770295000000004,-117.884501,0.0
25066,06 27,11077500,33.770295000000004,-117.884501,0.0
25067,06 28,11077500,33.770295000000004,-117.884501,0.0
25068,06 29,11077500,33.770295000000004,-117.884501,0.0
25069,06 30,11077500,33.770295000000004,-117.884501,0.0
25070,07 01,11077500,33.770295000000004,-117.884501,0.0
25071,07 02,11077500,33.770295000000004,-117.884501,0.0
25072,07 03,11077500,33.770295000000004,-117.884501,0.0
25074,07 05,11077500,33.770295000000004,-117.884501,0.0
25075,07 06,11077500,33.770295000000004,-117.884501,0.0
25076,07 07,11077500,33.770295000000004,-117.884501,0.0
25077,07 08,11077500,33.770295000000004,-117.884501,0.0
25082,07 13,11077500,33.770295000000004,-117.884501,0.0
25084,07 15,11077500,33.770295000000004,-117.884501,0.0
25087,07 18,11077500,33.770295000000004,-117.884501,0.0
25093,07 24,11077500,33.770295000000004,-117.884501,0.0
25095,07 26,11077500,33.770295000000004,-117.884501,0.0
25096,07 27,11077500,33.770295000000004,-117.884501,0.0
25097,07 28,11077500,33.770295000000004,-117.884501,0.0
25098,07 29,11077500,33.770295000000004,-117.884501,0.0
25099,07 30,11077500,33.770295000000004,-117.884501,0.0
25100,07 31,11077500,33.770295000000004,-117.884501,0.0
25101,08 01,11077500,33.770295000000004,-117.884501,0.0
25103,08 03,11077500,33.770295000000004,-117.884501,0.0
25104,08 04,11077500,33.770295000000004,-117.884501,0.0
25105,08 05,11077500,33.770295000000004,-117.884501,0.0
25107,08 07,11077500,33.770295000000004,-117.884501,0.0
25108,08 08,11077500,33.770295000000004,-117.884501,0.0
25109,08 09,11077500,33.770295000000004,-117.884501,0.0
25110,08 10,11077500,33.770295000000004,-117.884501,0.0
25113,08 13,11077500,33.770295000000004,-117.884501,0.0
25118,08 18,11077500,33.770295000000004,-117.884501,0.0
25119,08 19,11077500,33.770295000000004,-117.884501,0.0
25120,08 20,11077500,33.770295000000004,-117.884501,0.0
25123,08 23,11077500,33.770295000000004,-117.884501,0.0
25124,08 24,11077500,33.770295000000004,-117.884501,0.0
25125,08 25,11077500,33.770295000000004,-117.884501,0.0
25126,08 26,11077500,33.770295000000004,-117.884501,0.0
25127,08 27,11077500,33.770295000000004,-117.884501,0.0
25128,08 28,11077500,33.770295000000004,-117.884501,0.0
25129,08 29,11077500,33.770295000000004,-117.884501,0.0
25130,08 30,11077500,33.770295000000004,-117.884501,0.0
